mounts in KES Millions,NCBA Bank Kenya,Column,Column,NCBA Group Consolidated,Column,Column
,FY 2021,FY 2020,∆%,FY 2021,FY 2020,∆%
Assets,,,,,,
Net Loans and Advances,"220,020","224,421",(2%),"244,038","248,498",(1.8%)
Cash & Balances with Banks,"84,052","73,342",15%,"88,274","76,204",15.8%
Government Securities,"196,052","148,752",32%,"218,809","163,547",33.8%
Other Assets,"46,609","45,099",3%,"39,967","39,706",0.7%
Total Assets,"546,733","491,614",11%,"591,088","527,954",12.0%
Liabilities & Equity,,,,,,
Customer Deposits,"431,214","388,020",11%,"469,890","421,504",11.5%
Borrowed Funds,"19,776","19,429",2%,"20,872","19,623",6.4%
Other Liabilities,"17,101","12,136",41%,"22,339","14,278",56.5%
Shareholders Equity,"78,642","72,028",9%,"77,987","72,548",7.5%
Total Liabilities and Equity,"546,733","491,614",11%,"591,088","527,954",12.0%
