Gross carrying amount as at 1 January 2023,"294,587,633","36,481,803","52,534,604","383,604,040"
New financial assets originated or purchased,"120,022,517","36,571,808","16,090,636","172,684,961"
"Financial assets that have been derecognised
(excluding write-off)","(98,915,584)","(25,375,690)","(9,585,816)","(133,877,090)"
Transfer to Stage 1,"3,243,351","(2,135,370)","(1,107,981)",–
Transfer to Stage 2,"(3,956,128)","4,587,667","(631,539)",–
Transfer to Stage 3,"(7,945,384)","(2,099,686)","10,045,070",–
Write offs,–,–,"(1,440,805)","(1,440,805)"
Other changes,"1,587,232","614,050","201,014","2,402,296"
Gross carrying amount as at 31 December 2023,"308,623,637","48,644,582","66,105,183","423,373,402"
Impairment allowance as at 1 January 2023,"5,195,837","4,243,146","28,557,817","37,996,800"
New financial assets originated or purchased,"7,834,304","14,745,662","1,007,869","23,587,835"
"Financial assets that have been derecognised
(excluding write-off)","(1,342,849)","(9,535,006)","(6,656,536)","(17,534,391)"
Transfer to Stage 1,"174,570","(100,457)","(74,113)",–
Transfer to Stage 2,"(334,381)","543,749","(209,368)",–
Transfer to Stage 3,"(3,308,639)","(209,829)","3,518,468",–
Write offs,–,–,"(1,440,805)","(1,440,805)"
Other changes,"37,096","87,004","64,585","188,685"
Impairment allowance as at 31 December 2023,"8,255,938","9,774,269","24,767,917","42,798,124"
Net carrying Amount as at 31 December 2023,"300,367,699","38,870,313","41,337,266","380,575,278"
