Director Co-operative Bank Group Board Sub-committees,Column,Column,Column,Column,Column
"Co-operative
Bank","Co-op
Consultancy","Co-optrust
Investment
Services","Audit
Committee","Staff and
Nomination
Committee","Risk and
Finance
Committee"
Schedule of meetings: 7,6,6,4,1,3
"S. C. Muchiri, EBS –
Group Chairman 7",6,6,-,1,3
J. Riungu - Vice Chairman 7,-,-,4,1,-
"Dr. G. Muriuki, MBS –
Group Managing Director & CEO 7",6,6,4,1,3
J. Sitienei 7,-,-,-,1,-
"F. Odhiambo –
Commissioner of Co-operatives 7",-,-,-,0,-
P. K. Githendu -,6,6,-,-,-
G. Mburia -,6,6,-,-,-
R. L. Kimanthi 7,-,-,-,-,3
E.K. Mbogo -,6,6,-,-,-
"G.J.S. Wakasyaka, Rtd Major 7",-,-,-,1,-
M. Malonza 7,-,-,-,-,2
S. Odhiambo (Mrs) -,6,6,-,-,-
Dr. J. Kahunyo -,6,6,-,-,-
C. Kabira -,6,6,-,-,-
W. Ongoro 6,-,-,-,-,3
D. Kibera 7,-,-,-,-,3
"J. Murugu – Representing
PS Ministry of Finance 4",-,-,2,-,-
R. Simani (Mrs) 7,-,-,4,-,-
