NAME NO. OF SHARES %,Column,Column
1 Co-opHoldings Co-operative Society Limited,"2,254,592,500",64.56
2 Gideon Maina Muriuki,"68,121,000",1.95
3 Kenya Commercial Bank Nominees Limited A/C 771A,"47,000,000",1.35
4 Stanbic Nominees Kenya Ltd A/C R57601,"30,000,000",0.86
5 NIC Bank Limited A/C 077,"20,000,000",0.57
6 Kenya Commercial Bank Nominees A/C 816,"10,700,000",0.31
7 Kenya Commercial Bank Nominees Limited A/C 747,"10,000,000",0.29
8 Barclays (K) Nominees Ltd A/C 9298,"8,200,000",0.23
9 Stanley Charles Muchiri,"8,000,000",0.23
10 Julius M Riungu,"7,700,000",0.22
Total,"2,464,313,500",70.40
