Column,Column,Column,Dec-19,Dec-18,Dec-17,Dec-16,Dec-15
,5Yr CAGR,YoY,KSHS.B,KSHS.B,KSHS.B,KSHS.B,KSHS.B
Total Interest Income,3.5%,1.5%,43.6,43.0,40.4,42.3,36.8
Total Interest Expenses,-1.9%,1.1%,12.3,12.2,12.3,12.8,13.6
Net Interest Income,6.2%,1.6%,31.3,30.8,28.1,29.5,23.2
"Fees and commissions on loans and
advances",7.0%,438.1%,3.2,0.6,2.6,2.3,2.3
Other Fees and commissions,5.9%,7.7%,9.6,8.9,7.2,7.5,7.2
Foreign exchange trading income,-7.7%,-6.6%,2.1,2.3,2.2,1.8,3.2
Total Non-Interest Income,5.4%,33.0%,17.2,12.9,13.5,12.8,13.2
Total operating income,5.9%,10.9%,48.5,43.7,41.6,42.3,36.4
Loan loss provision,4.9%,41.1%,2.5,1.8,3.6,2.6,2.0
Total Operating Expenses,5.4%,8.1%,27.8,25.7,25.3,24.6,21.4
Profit Before Tax,6.1%,13.8%,20.7,18.2,16.4,17.7,15.4
Profit After Tax,4.1%,12.7%,14.3,12.7,11.4,12.7,11.7
