Column,Year 2015,Column,Year 2014,Column
No. of employees:,"3,948",,"4,450",
Male,"2,264",57%,"2,570",58%
Female,"1,684",43%,"1,880",42%
No. of employees of age 35 or under:,"3,036",,"3,662",
Male,"1,751",58%,"2,131",58%
Female,"1,285",42%,"1,531",42%
No. of senior management positions:,62,,56,
Male,42,68%,39,70%
Female,20,32%,17,30%
Average years of service:,5.8,,4.8,
Male,5.4,,5.2,
Female,6.3,,4.5,
Employees taking leave for child-rearing:,630,,694,
Male,353,56%,394,57%
Female,277,44%,300,43%
