Column,2018,2017
Value Added:,KShs’000,KShs’000
"Interest Income, Fees, Commission and Other Revenues",55.92,53.87
Net impairment losses on loans and advances,- 1.84,-3.60
Interest Paid to Depositors and Cost of Other Services,-20.76,-19.82
Interest paid on borrowings,-1.35,-1.41
Share of profit in associate,0.17,0.13
Wealth Created,32.14,29.16
Distribution of Wealth:,,
"Employees-Salaries, Wages and other Benefits",11.45,10.10
Government-Tax,5.42,4.99
Shareholders Dividends,5.87,4.69
Retained Earnings,6.87,6.71
Depreciation and Amortization,2.38,2.50
Social capital - Co-op Bank Foundation,0.15,0.16
Wealth Distributed,32.14,29.16
