"J. K. Murugu, OGW",– Chairman
"M. Malonza, HSC",– Vice Chairman
"Dr. G. Muriuki, CBS, MBS",– Group Managing Director & CEO
L. C. Karissa,"– Chairman, Staff and Nominations Committee"
R. Simani (Mrs),"– Chairperson, Board Audit Committee"
Margaret Karangatha (Mrs),"– Chairperson, Board Credit Committee (Appointed on 24th September 2019)"
"W. Ongoro, HSC",
Wanyambura Mwambia,"– Representing PS, National Treasury (Chairman, Board Risk Committee)"
J. Sitienei,
R. L. Kimanthi,
S. Odhiambo (Mrs),
P. K. Githendu,
G. K. Mburia,
B. W. Simiyu,
J. N. Njiru,
D. M. Muthigani,
"M. N. Mungai (Mrs), OGW",– Commissioner of Co-operatives-Retired on 28th March 2019
Didacus O. Ityeng’,"– Ag. Commissioner of Co-operatives-Appointed on 28th March 2019, Retired on 2nd August 2019"
Geoffrey N. Njang’ombe,– Commissioner of Co-operatives-Appointed on 2nd August 2019
F. Ngone,
G. M’Nairobi,
M. M. Muthigani,Appointed on 20th May 2019
