"Banking
services","Advisory &
training",Bancassurance,"Investment
management",Brokerage,Total
KShs’000,KShs’000,KShs’000,KShs’000,KShs’000,KShs’000
"155,973",-,-,-,-,"155,973"
"16,693",-,-,-,-,"16,693"
-,-,-,"218,970",-,"218,970"
-,-,-,-,"54,927","54,927"
-,"39,249",-,-,-,"39,249"
-,"13,987",-,-,-,"13,987"
-,-,"841,829",-,-,"841,829"
"1,113,755",-,-,-,-,"1,113,755"
"10,114,115",-,-,-,-,"10,114,115"
"11,400,536","53,236","841,829","218,970","54,927","12,569,498"
"11,227,870","53,236","841,829",,"54,927","12,177,862"
"172,666",,,"218,970",,"391,636"
"11,400,536","53,236","841,829","218,970","54,927","12,569,498"
