Column,Q22022,Q22021,Growth,Growth %
,Kshs. '000',Kshs. '000',Kshs. '000',
Co-operative Bank of Kenya Ltd (COBK),"14,032,110","9,972,061","4,060,049",40.7%
Co-operative Bank of South Sudan (COBSS),"55,526","(290,081)","345,607",119.1%
Co-opTrust Investment Services Ltd (CISL),"85,743","47,908","37,834",79.0%
"Co-op Consultancy & Bancassurance
Intermediary Ltd (CCBI)","593,283","433,782","159,501",36.8%
Kingdom Securities Ltd (KSL),"7,259",(968),"8,228",849.8%
Kingdom Bank Ltd,"421,677","296,690","124,987",42.1%
Co-op Bank and Subsidiaries Total,"15,195,599","10,459,393","4,736,206",45.3%
Associates share of profit,"87,913","64,903","23,010",35.5%
Group profit before Tax,"15,283,512","10,524,296","4,759,216",45.2%
Income tax expense,"3,815,307","3,158,716","656,591",20.8%
Group profit After Tax,"11,468,205","7,365,580","4,102,625",55.7%
