Column,Column,Column,Dec 2018,Dec 2017,Dec 2016,Dec 2015,Dec 2014
,5Yr CAGR,YoY,KSHS.B,KSHS.B,KSHS.B,KSHS.B,KSHS.B
Total Interest Income,8%,7%,43.0,40.4,42.3,36.8,29.4
Total Interest Expenses,9%,0%,12.2,12.3,12.8,13.6,8.1
Net Interest Income,8%,10%,30.8,28.1,29.5,23.2,21.3
"Fees and commissions on loans and
advances",-23%,-78%,0.6,2.6,2.3,2.3,2.1
Other Fees and commissions,6%,24%,8.9,7.2,7.5,7.2,6.6
Foreign exchange trading income,10%,2%,2.3,2.2,1.8,3.2,1.4
Total Non-Interest Income,4%,-4%,12.9,13.5,12.8,13.2,10.8
TOTAL OPERATING INCOME,6%,5%,43.7,41.6,42.3,36.4,32.1
Loan loss provision,9%,-49%,1.8,3.6,2.6,2.0,1.2
Other operating expenses,4%,9%,8.1,7.4,8.6,6.5,6.7
Total Operating Expenses,5%,1%,25.7,25.3,24.6,21.4,20.1
Profit Before Tax,11%,11%,18.2,16.4,17.7,15.4,10.9
Profit After Tax,10%,12%,12.7,11.4,12.7,11.7,8.0
