Date,Base scenario,Growth Scenario,"Down side
scenario","Probability
Weighted"
31-12-17,1.059081027,1.059081027,1.059081027,1.059081027
31-01-18,1.059081027,1.059081027,1.059081027,1.059081027
28-02-18,1.059081027,1.059081027,1.059081027,1.059081027
31-03-18,1.060875222,1.010411093,1.10961041,1.055569468
30-04-18,1.053621177,1.003462316,1.094563764,1.04722285
31-05-18,1.043327366,0.997650576,1.086692226,1.038412898
30-06-18,1.035916573,0.993158925,1.073344506,1.030841351
31-07-18,1.033843042,0.986820874,1.060559983,1.026095041
31-08-18,1.030010072,0.991153345,1.079524406,1.02772304
30-09-18,1.056037957,0.987502838,1.189339515,1.058899411
31-10-18,1.056566179,0.991199881,1.202150914,1.062062315
30-11-18,1.057212938,0.996205681,1.211435694,1.065094537
31-12-18,1.057860015,0.996938929,1.228233812,1.068185813
31-01-19,1.058507409,0.997904669,1.22857557,1.068866948
28-02-19,1.059155122,0.995779614,1.233879562,1.069519911
31-03-19,1.059803153,0.995371305,1.224905369,1.068460524
30-04-19,1.060451503,0.99564679,1.219898556,1.068167383
31-05-19,1.061100171,0.997551945,1.21705165,1.068605836
30-06-19,1.061606681,0.998716291,1.215215663,1.068925431
31-07-19,1.062255916,0.930962164,1.249733425,1.057554104
31-08-19,1.06290547,0.926575812,1.236687275,1.054890326
30-09-19,1.063555343,0.931042253,1.248684599,1.058196459
31-10-19,1.064205535,0.934138018,1.253708833,1.06011415
