"J. K. Murugu, OGW",- Chairman
"M. Malonza, HSC",- Vice Chairman
"Dr. G. Muriuki, CBS, MBS",- Group Managing Director & CEO
L. C. Karissa,"- Chairman, Staff and Nominations Committee"
R. Simani (Mrs),"- Chairperson, Board Audit Committee"
"W. Ongoro, HSC",
Wanyambura Mwambia,"- Representing PS, National Treasury (Chairman, Board Risk Committee)"
J. Sitienei,
R. L. Kimanthi,
S. Odhiambo (Mrs),
Dr.J.Kahunyo,- Retired on 1st September 2018
P.K. Githendu,
G. K. Mburia,
B.W. Simiyu,
J.N. Njiru,
D.M. Muthigani,
"M. N. Mungai (Mrs), OGW",- Commissioner of Co-operatives
F. Ngone,- Appointed on 22nd May 2018
G. M’Nairobi,- Appointed on 22nd May 2018
