COMPANY,"PROFIT BEFORE TAX
1Q2017","PROFIT BEFORE TAX
1Q2016",%
,KShs’000,KShs’000,KShs’000
The Co-operative Bank of Kenya Limited,"4,398,793","4,902,424",-10%
Co-op Consultancy & Ins Agency Limited,"137,119","92,880",48%
Co-op trust Investments Limited,"4,766","17,953",-73%
Kingdom Securities Limited,"-7,450","-4,317",-73%
Co-Operative Bank of South Sudan,"-34,689","11,513",-401%
Total PBT before eliminations,"4,498,538","5,020,452",-10%
Add: Share of profit from associates,"11,552","-80,294",114%
Less: Dividends received from CIC,-,-,-
Group profit before tax,"4,510,091","4,940,159",-9%
Income tax expense,"1,282,237","1,505,146",-15%
Group profit after tax,"3,227,854","3,435,012",-6%
