Performance Indicator,2019,2018
Total permanent staff,3883,3638
Total contract staff (Includes Sales Staff),539,613
Total Staff Number,4422,4251
No. of staff on secondment to S. Sudan,19,22
Staff attrition (%) –Voluntary,3.22%,3.82%
Staff attrition (%) –involuntary,1.73%,3.17%
Sick off days,14073,"14,293"
% Female staff members,58%,60%
% male staff members,42%,40%
% of our staff who are younger than 40 years,83%,87.1%
% of our staff who have a tenure of more than 10 years,24%,17.3%
% of our staff who have disabilities,0.36%,0.37%
% Permanent staff,88%,86%
% Contract staff,12%,14%
No. of paternity applicants (actual taken),207,282
No. of Maternity applicants (actual taken),196,203
Average Increase in staff remuneration %,8%,13%
No. of staff on secondment outside Co-op Bank group*,2,1
Subordinate staff%,0.82%,0.94%
Senior Management %,2.16%,2.15%
Grievances as a percentage of total employee base %,<1%,< 1%
Number trained on Leadership and Coaching,741,204
List the wellness initiatives carried out,320,250
