Name,"Retainer
Allowance","Sitting
Allowance","Travelling
Facilitation",Honorarium,"Responsibility
Allowance","Housing
Allowance","CEO Annual
Remuneration","Total
2023","Total
2022"
"John K. Murugu,
OGW – Chairman",4.61,1.26,0.65,6.98,6.17,2.98,–,22.65,21.51
"Macloud M.
Malonza, MBS, HSC",5.31,1.84,0.65,6.46,4.20,1.80,–,20.26,19.48
Patrick K. Githendu,2.00,1.28,1.04,6.02,3.00,1.28,–,14.62,13.98
"Wanyambura
Mwambia",1.50,1.06,0.70,6.02,–,–,–,9.28,8.49
Lawrence C. Karissa,1.50,1.23,2.07,6.02,–,–,–,10.82,9.21
"Margaret
Karangatha (Mrs)",1.50,0.91,0.68,6.02,–,–,–,9.11,8.74
Weda Welton (Mrs),1.50,1.13,0.72,6.02,–,–,–,9.37,8.79
Julius Sitienei,1.50,0.83,1.16,6.02,–,–,–,9.51,8.69
Benedict Simiyu,1.50,1.22,1.91,6.02,–,–,–,10.65,9.46
Richard L. Kimanthi,1.50,0.75,1.38,6.02,–,–,–,9.65,8.81
"Wilfred Ongoro, HSC",1.50,0.71,1.26,6.02,–,–,–,9.49,8.62
Godfrey Mburia,1.50,0.79,1.40,6.02,–,–,–,9.71,9.72
"Scholastica
Odhiambo (Mrs)",2.11,1.03,0.57,6.02,–,–,–,9.73,8.95
James N. Njiru,2.11,1.03,0.87,6.02,–,–,–,10.03,9.15
David M. Muthigani,2.11,0.99,0.80,6.02,–,–,–,9.92,9.13
Francis Ngone,2.11,0.94,0.71,6.02,–,–,–,9.78,9.51
Geoffrey M’Nairobi,2.11,0.94,0.80,6.02,–,–,–,9.87,9.59
Michael M. Muthigani,2.11,0.98,0.52,6.02,–,–,–,9.63,8.90
David Kirk Obonyo,1.89,0.86,0.49,6.02,–,–,–,9.26,9.46
Charles Kamari,–,–,–,1.73,–,–,–,1.73,–
"Dr. G. Muriuki, CBS,
MBS - GMD & CEO",–,–,–,–,5.94,–,148.45,154.39,140.71
,39.97,19.78,18.38,117.51,19.31,6.06,148.45,369.46,340.90
