"30,444,256",-,-,-,-,Column,Column,"30,444,256",Column,Column
"27,541,875","19,485,220",-,-,-,,,"47,027,095",,
"2,012,528","10,101,697","22,817,336","105,881,968","132,530,590",,,"273,344,119",,
"42,824,471","5,673,943","25,162,500","143,961,273","278,193,910",,,"495,816,097",,
-,-,"59,062",-,-,,,"59,062",,
"612,546","16,675,365","7,663,998",-,-,,,"24,951,909",,
"103,435,676","51,936,225","55,702,896","249,843,241","410,724,500",,,"871,642,538",,
"4,476,324",-,-,-,-,,,"4,476,324",,
"348,805,077","59,459,830","71,730,962","1,248,003",-,,,"481,243,872",,
"836,654",-,-,"13,887,729","34,678,769",,,"49,403,152",,
"110,280","224,385","1,035,564","2,671,011","716,97",,3,"4,758,2",,13
-,-,"367,277",-,,,-,,"367,2",77
"10,652,996",-,"1,999,478",-,,,-,1,"2,652,4",74
"364,881,331","59,684,215","75,133,281","17,806,743","35,","395,74",2,55,"2,901,3",12
"(261,445,655)","(7,747,990)","(19,430,385)","232,036,498","375,","328,75",8,31,"8,741,2",26
"5,515,276","9,124,276","26,272,518","6,519,001",,"636,06",2,4,"8,067,1",33
,,,,,,,,1,
