Stage,Stage,Stage,Total
1,2,3,
"4,154,683","4,348,030","7,593,628","16,096,341"
,,"2,539,071","2,539,071"
-,-,"(96,656)","(96,656)"
-,-,"11,155","11,155"
-,-,"(72,741)","(72,741)"
"4,154,683","4,348,030","9,974,457","18,477,170"
"4,154,683","4,348,030","9,974,457","18,477,170"
-,-,"3,443,502","3,443,502"
"(1,268,568)","1,521,667","7,858,725","8,111,824"
-,-,"(176,218)","(176,218)"
-,-,"1,086,966","1,086,966"
-,-,"(119,661)","(119,661)"
-,-,"9,518","9,518"
"2,886,115","5,869,697","22,077,289","30,833,101"
