FINANCIAL (Kshs. B),2019,2018,Column
Profit Before Tax,20.7,18.2,▲
Total Assets,457.1,413.7,▲
Loan Book,266.7,245.4,▲
Customer Deposit,332.8,306.1,▲
Non-Performing Loan (%),9.9%,10.3%,▼
Dividend per share,1.00,1.00,●
Market Capitalization Kshs. B,95.5,83.3,▲
Average ROA,3.3%,3.2%,▲
Average ROE,18.9%,18.1%,▲
Cost to Income (CIR),52%,55%,▼
Debt to Equity,33%,34%,▼
OTHER KEY INDICATORS,,,
Staff numbers,4422,4251,▲
Training spend Ksh. M,70,84,▼
Remuneration Kshs. B,12.4,11.5,▲
Sick leave (days),14073,14293,▼
Female staff ratio,58%,60%,▼
Digital channel transactions (Million),136,122,▲
Wide branch network,159,155,▲
Branches County presence,42,40,▲
ATMs,583,581,▲
Renewable energy lending Ksh. B,2.59,3.11,▼
CCIA consultancies,2800,2600,▲
Coop Foundation students to date,7657,7002,▲
Electricity cost (Million),261,265,▼
Generator fuel cost (Million),19,26,▼
Water cost (Million),35,39,▼
Stationery (Million),119,156,▼
