Interest income,"68,567,491","498,577","69,066,068"
Interest expense,"(23,799,491)","(45,415)","(23,844,906)"
Net interest income,"44,768,000","453,162","45,221,162"
Non-funded income,"25,384,063","1,077,685","26,461,748"
Operating income,"70,152,063","1,530,847","71,682,910"
Depreciation,"(2,701,056)","(76,974)","(2,778,030)"
Amortization,"(973,285)","(4,838)","(978,123)"
Other operating expenses,"(34,750,895)","(1,157,739)","(35,908,634)"
Loss on net monetary position,–,–,–
Operating profit,"31,726,827","291,296","32,018,123"
Share of profit in associate,"345,725",–,"345,725"
Profit before tax,"32,072,552","291,296","32,363,848"
Income tax expense,"(9,083,617)","(91,866)","(9,175,483)"
Profit for the year,"22,988,935","199,430","23,188,365"
Statement of financial position,,,
Segment assets,,,
Non-current assets,"507,232,197","6,446,100","513,673,597"
Current assets,"154,725,071","4,124,020","158,849,091"
,"661,957,268","10,570,120","672,527,388"
Segment liabilities,"549,966,179","9,251,619","559,217,798"
Equity,"111,991,088","1,318,502","113,309,590"
