Column,Q12023,Q12022,Growth,Growth
,Kshs. '000',Kshs. '000',Kshs. '000',%
Co-operative Bank of Kenya Ltd (COBK),"7,478,370","7,141,121","337,249",4.7%
Co-operative Bank of South Sudan (COBSS),"(71,346)","43,882","(115,228)",-262.6%
Co-opTrust Investment Services Ltd (CISL),"51,145","53,724","(2,580)",-4.8%
Co-op Consultancy & Insurance Agency Ltd (CCIAL),"336,401","316,906","19,496",6.2%
Kingdom Securities Ltd,(20),"(8,362)","8,342",99.8%
Kingdom Bank Ltd,"261,520","209,792","51,728",24.7%
Co-op Bank and Subsidiaries Total,"8,056,070","7,757,064","299,006",3.9%
Associates share of profit,"93,082","32,113","60,969",189.9%
Group Profit before Tax,"8,149,152","7,789,177","359,975",4.6%
Income Tax Expense,"2,038,396","1,953,954","84,442",4.3%
Group Profit after Tax,"6,110,756","5,835,223","275,533",4.7%
