Column,QUARTERLY – 2018,Column,Column,Column,QUARTERLY – 2019,Column,Column
,Q1,Q2,Q3,Q4,Q1,Q2,Q3
Agriculture,7.5,6.5,6.9,4,5.3,4.2,3.2
Industry,4.9,5.4,5.7,5.5,4.2,5.3,4.5
Mining & Quarrying,2.4,2.9,3.3,2.7,2.2,5.7,4.3
Manufacturing,3.8,4.7,4.6,3.7,3.2,4.2,3.1
Construction,6.5,8.4,7.8,8.7,6.1,5.6,4.9
Electricity & Water Supply,6.6,5.4,7,7.3,5.6,7.2,6.6
Services,7,6.7,6.8,7.3,6.4,6.6,6.2
"Wholesale and Retail Trade, Repairs",5.9,6.2,6.5,6.6,5.5,6,4.7
Accomodation & Restaurants,13.1,15.4,25.7,21.3,10.1,10.6,9
Transport & Storage,8.5,8.4,9,9.3,6.7,7.2,7.1
Information & Communication,12.5,11.1,9.8,11.8,10.4,11.3,8.4
Financial & Insurance,5.2,4.5,5.3,7.2,5.5,7.2,5.6
Public Administration,6.2,5.9,6.1,6.4,6.5,6,5.8
"Proffesional, Admin & Support Services",6.1,7.5,6.7,3.6,6.3,5,5
Real Estate,5.3,4.6,3.8,2.8,4.2,5.4,4.9
Education,5.3,5.8,5.9,6.4,5.4,6,5.7
Health,4.6,4.1,5.5,4,4,5.2,4.8
Other Services,4.2,5.1,4.9,5.3,3.2,2.3,2.2
FISM,0.2,0.1,1.7,2.3,-2.8,4.6,-4.5
Real GDP growth rate,6.6,6.3,6.4,6,5.7,5.6,5.1
