Five Year Financial Review 2006 2007 2008 2009 2010,Column,Column,Column,Column,Column
Statement of Financial Position KShs million,,,,,
Cash and short term funds,"8,714","9,140","11,770","13,194","20,775"
Loans & Advances to Customers (gross),"44,692","45,412","60,418","66,620","90,965"
Impairment losses on loans & advances,"(16,655)","(7,367)","(7,509)","(4,346)","(4,346)"
Government & other Securities,"15,439","12,945","12,857","26,498","34,391"
Property and equipment,"2,936","3,263","4,302","6,192","6,943"
Other assets,"2,562","1,931","1,648","2,420","5,611"
Total Assets,"57,688","65,324","83,486","110,678","154,339"
Customer Deposits,"50,462","56,198","67,159","92,529","129,226"
Other liabilities,"2,392","2,666","2,718","1,857","4,518"
Total liabilities,"52,854","58,864","69,877","94,386","133,744"
Net assets/Shareholders Equity,"4,834","6,460","13,609","16,292","20,595"
Income Statement,,,,,
Net Interest Income,"3,339","4,850","5,696","7,054","9,503"
Non-Interest Income,"3,578","3,426","3,954","4,664","6,168"
Operating Expenses,"(4,236)","(5,257)","(5,888)","(7,354)","(9,231)"
Provision for loans impairment,"(1,425)",(700),(403),(628),(799)
Share of profit of associate,-,-,-,-,130
Profit before Tax,"1,256","2,319","3,359","3,736","5,771"
Profit after tax,867,"1,550","2,374","2,968","4,580"
Earnings per share,0.30,0.54,0.80,0.85,1.31
Dividend per share,0.05,0.08,0.10,0.20,0.40
Key Ratios (%),,,,,
Cost-Income Ratio (%),61%,64%,61%,63%,59%
Return on Shareholders Equity (%),18%,24%,17%,18%,22%
Return on Total Assets (%),2%,2%,3%,3%,3%
"Impairment provisions/
Gross loans & advances (%)",37%,16%,12%,7%,5%
Gross loans to deposits ratio (%),89%,81%,90%,72%,70%
