Column,"Retail and
Business
Banking","Corporate and
Institutional
Banking","Co-operatives
Banking","Co-op
Consultancy
and Insurance
Agency Ltd","Co-op Trust
Investment
Services Ltd","Kingdom
Securities Ltd"
,In Kenya and South Sudan,,,,,
Deposit/ Instant Access accounts,,,,,,
Savings Accounts,,,,,,
Current accounts,,,,,,
Fixed/Call deposit accounts,,,,,,
Forex,,,,,,
Payment solutions,,,,,,
M-Wallet loans,,,,,,
Trade Finance,,,,,,
MSME Loans,,,,,,
Personal/Consumer Loans,,,,,,
Working Capital Loans,,,,,,
Asset Finance,,,,,,
Insurance Premium Financing,,,,,,
Mortgage Finance,,,,,,
Banc Assurance,,,,,,
Consultancy and capacity building,,,,,,
Investment services,,,,,,
Stock Brokerage,,,,,,
