"Within
12 months","After
12 months",Total,"Within
12 months","After
12 months",Total
KShs’000,KShs’000,KShs’000,KShs’000,KShs’000,KShs’000
"29,028,674",-,"29,028,674","25,393,302",-,"25,393,302"
"9,709,748",-,"9,709,748","8,026,317",-,"8,026,317"
"45,181,722","74,385,988","119,567,710","45,181,722","74,126,235","119,307,957"
"69,206,941","197,505,755","266,712,696","67,827,021","197,505,755","265,332,776"
-,-,-,-,-,-
-,"3,315,666","3,315,666",-,"3,275,430","3,275,430"
-,"34,522","34,522",-,"34,522","34,522"
-,"12,496,362","12,496,362",-,"12,265,057","12,265,057"
-,-,-,-,"2,512,920","2,512,920"
-,"2,098,354","2,098,354",,"706,444","706,444"
-,"6,514,328","6,514,328",-,"5,844,283","5,844,283"
-,"4,906,908","4,906,908",,"4,674,823","4,674,823"
-,"2,708,018","2,708,018",-,"2,242,641","2,242,641"
"153,127,085","303,965,901","457,092,986","146,428,362","303,188,110","449,616,472"
"332,077,212","746,705","332,823,917","328,631,687","746,705","329,378,392"
"176,975",-,"176,975","734,804",-,"734,804"
"24,353",-,"24,353","29,805",-,"29,805"
-,"151,426","151,426",,,
"16,534,378",-,"16,534,378","15,961,217",-,"15,961,217"
-,"443,416","443,416",-,"443,416","443,416"
"1,070,929","25,353,337","26,424,266","1,070,929","25,353,337","26,424,266"
-,"100,778","100,778",-,-,-
"349,883,847","26,795,662","376,679,509","346,428,442","26,543,458","372,971,900"
"(196,756,762)","277,170,239","80,413,477","(200,000,080)","276,644,652","76,644,572"
