Top 10 Co-op Holdings Shareholders as at 31 December 2020,Column,Column
Shareholding,No. Of Shares,% Shareholding
HARAMBEE COOPERATIVE SAVINGS & CREDIT SOCIETY LTD,"144,929,400",3.83
H & M COOPERATIVE SAVINGS & CREDIT SOCIETY LTD,"125,247,471",3.31
KENYA POLICE SACCO SOCIETY LTD,"119,885,226",3.17
AFYA COOPERATIVE SAVINGS & CREDIT SOCIETY LTD,"111,395,592",2.94
MASAKU TEACHERS COOP SAVINGS & CREDIT SOCIETY LTD,"110,037,033",2.91
KIPSIGIS TEACHERS COOP SAVINGS & CREDIT SOCIETY LTD,"101,495,520",2.68
CO-OPERATIVE BANK COOP SAVINGS & CREDIT SOCIETY LTD,"96,103,831",2.54
K-UNITY SAVINGS AND CREDIT CO-OPERATIVE SOCIETY LIMITED,"90,162,633",2.38
TELEPOST CO-OPERATIVE SAVINGS & CREDIT SOCIETY LIMITED,"86,432,771",2.28
NAWIRI SAVINGS AND CREDITCO-OPERATIVE SOCIETY LTD,"69,453,216",1.83
TOTAL,"1,055,142,693",27.87
