Kshs. Billions,FY2023,FY2022,YoY Change
Total Interest Income,69.1,61.7,11.9%
Total Interest Expenses,23.8,16.2,46.9%
Net Interest Income,45.2,45.5,(0.6%)
Fees and commissions on loans and advances,12.3,7.5,63.0%
Other Fees and commissions,10.1,12.6,(19.4%)
Foreign exchange trading income,3.2,4.7,(32.6%)
Other income,0.90,0.93,(3.4%)
Total Operating Income,71.7,71.3,0.6%
Loan loss provision,6.0,8.7,(30.8%)
Staff costs,16.7,14.8,12.9%
Other operating expenses,17.0,18.8,(9.6%)
Total Operating expenses,39.7,42.2,(6.1%)
Profit before tax and exceptional items,32.0,29.0,10.4%
Exceptional items-Share of profit of associate,0.3,0.4,(16.9%)
Profit Before Tax,32.4,29.4,10.0%
Income tax,9.2,7.4,24.2%
Profit After Tax,23.2,22.0,5.2%
