BANK,Stage 1,Stage 2,Stage 3,Total
,12-month ECL,Lifetime ECL,Lifetime ECL,
,KShs‘000,KShs‘000,KShs‘000,KShs‘000
Gross carrying amount as at 1 January 2023,"289,557,659","35,389,334","47,479,846","372,426,839"
New financial assets originated or purchased,"113,189,984","36,400,928","15,835,126","165,426,038"
"Financial assets that have been derecognised
(excluding write-off)","(96,881,151)","(24,911,282)","(9,123,149)","(130,915,582)"
Transfer to Stage 1,"3,166,758","(2,098,708)","(1,068,050)",–
Transfer to Stage 2,"(3,759,492)","4,347,688","(588,196)",–
Transfer to Stage 3,"(7,900,101)","(1,981,092)","9,881,193",–
Write-offs,–,–,"(185,970)","(185,970)"
Other changes,"171,018","261,017","165,548","597,583"
Gross carrying amount as at 31 December 2023,"297,544,675","47,407,885","62,396,348","407,348,908"
Impairment allowance as at 1 January 2023,"4,630,561","4,127,746","26,128,293","34,886,600"
New financial assets originated or purchased,"7,531,410","14,695,708","447,552","22,674,670"
"Financial assets that have been derecognised
(excluding write-off)","(932,779)","(9,435,735)","(6,591,556)","(16,960,070)"
Transfer to Stage 1,"120,575","(82,353)","(38,222)",–
Transfer to Stage 2,"(296,433)","471,983","(175,550)",–
Transfer to Stage 3,"(3,284,602)","(207,805)","3,492,407",–
Write offs,–,–,"(185,970)","(185,970)"
Other changes,"50,597","75,410","72,428","198,435"
Impairment allowance as at 31 December 2023,"7,819,329","9,644,954","23,149,382","40,613,665"
Net carrying Amount as at 31 December 2023,"289,725,346","37,762,931","39,246,966","366,735,243"
