Date,Base scenario,Growth Scenario,"Down side
scenario","Probability
Weighted"
31-12-18,1.057860015,0.996938929,1.228233812,1.068185813
31-01-19,1.058507409,0.997904669,1.22857557,1.068866948
28-02-19,1.059155122,0.995779614,1.233879562,1.069519911
31-03-19,1.059803153,0.995371305,1.224905369,1.068460524
30-04-19,1.060451503,0.99564679,1.219898556,1.068167383
31-05-19,1.061100171,0.997551945,1.21705165,1.068605836
30-06-19,1.061606681,0.998716291,1.215215663,1.068925431
31-07-19,1.062255916,0.930962164,1.249733425,1.057554104
31-08-19,1.06290547,0.926575812,1.236687275,1.054890326
30-09-19,1.063555343,0.931042253,1.248684599,1.058196459
31-10-19,1.064205535,0.934138018,1.253708833,1.06011415
30-11-19,1.057860015,0.996938929,1.228233812,1.068185813
31-12-19,1.065506876,0.939318982,1.258750313,1.062946418
31-01-20,1.066158025,0.943632756,1.255890258,1.063986543
29-02-20,1.066809494,0.945047625,1.252578373,1.064234358
31-03-20,1.067461282,0.944366523,1.253947479,1.064660522
30-04-20,1.068113389,0.941906072,1.251666986,1.0640946
31-05-20,1.068765817,0.942176046,1.249902599,1.064288891
30-06-20,1.069418564,0.940719167,1.247593005,1.063969881
31-07-20,1.070071631,0.938309049,1.24534209,1.063421554
31-08-20,1.070725018,0.936977502,1.245923767,1.063567951
30-09-20,1.071378725,0.94053107,1.255184461,1.066237671
31-10-20,1.072032752,0.942445997,1.253609724,1.066872609
30-11-20,1.072687099,0.943223483,1.249842089,1.066894443
31-12-20,1.073341767,0.945959578,1.24929704,1.067889511
