"Directors-2019 Board
Meetings Attendance",Co-operative Bank Group,Column,Column,Column,"Co-operative Bank of Kenya Ltd Board
Sub-committees",Column,Column,Column
,"Co-operative
Bank of
Kenya Ltd","Co-op
Consultancy
& Insurance
Agency Ltd","Co-optrust
Investment
Services Ltd","Kingdom
Securities","Audit
Committee","Staff and
Nomination
Committee","Credit
Committee",Risk
Schedule of meetings:,,,,,,,,
"John K. Murugu OGW–Chairman
(Appointed on 01-October 2017)",7,,,,,1,3,
"Macloud Malonza HSC- Vice
Chairman (Appointed on
01-October 2017)",7,5,5,,,,2,
"Dr. G. Muriuki, CBS MBS - Group
Managing Director & CEO",7,5,5,,,3,3,
Lawrence C. Karissa,7,,,,5,4,,4
Rose Simani (Mrs),7,,,,5,1,,2
"W. Ongoro, HSC",7,,,,,,3,
"W. J. Mwambia – representing
PS Ministry of Finance",7,,,,5,,,4
Julius Sitienei,7,,,5,,4,,
Richard L. Kimanthi,7,,,,,,3,
Benedict W. Simiyu,7,,,,2,3,,2
Godfrey K. Mburia,7,,,,,4,,
Patrick K. Githendu,7,,,,5,,,4
Margaret Karangatha (Mrs),2,,,,,,1,2
Scholastica Odhiambo (Mrs),,5,5,,,,,
James N. Njiru,,5,5,,,,,
David M. Muthigani,,5,5,,,,,
Geofrey Njang’ombe,,2,2,,,,,
Francis Ngone,,5,5,,,,,
Geoffrey M’Nairobi,,5,5,,,,,
Michael Muriithi,,4,4,,,,,
Boaz Ouma Awitti,,,,5,,,,
Mwangi Kariuki,,,,5,,,,
Anthony Mburu,,,,5,,,,
Anthony Wangari,,,,4,,,,
