Column,2018,2019,2020,2021,2022 EST,2023 Proj.,Column
,,,,,,Q1,Annual
1. Agriculture,5.7,2.7,4.8,-0.2,-0.3,4.1,4.4
2. Non-Agriculture,5.6,5.7,-0.7,9.4,7.0,5.9,6.1
2.1 Industry,3.8,4.0,4.0,7.2,4.7,4.4,4.3
Mining & Quarrying,-4.8,4.3,6.7,18.0,12.4,6.8,2.7
Manufacturing,3.6,2.6,-0.1,6.9,3.3,2.9,3.2
Electricity & Water Supply,3.6,1.7,0.1,5.0,4.4,6.1,5.8
Construction,6.1,7.2,11.8,6.6,5.5,5.3,5.6
2.2 Services,6.1,6.5,-2.2,9.8,7.6,6.4,6.6
Wholesale & Retail Trade,5.9,5.3,-0.4,7.9,8.6,7.0,7.0
Accommodation & Food Services,15.6,14.3,-47.7,52.5,30.7,8.9,11.2
Transport & Storage,6.0,6.3,-7.8,7.2,6.4,5.7,6.7
ICT,7.9,7.0,4.8,8.8,6.6,7.8,7.9
Financial Services,2.7,8.1,5.6,12.5,9.4,5.1,5.5
Public Admin,7.9,8.4,5.3,5.6,4.9,4.8,4.7
Professional Services,6.9,6.8,-15.0,5.7,10.6,7.4,6.7
Real Estate,6.5,6.7,4.1,6.7,5.6,5.4,5.5
Education,6.4,5.7,-10.8,21.4,6.6,8.1,8.5
Health,5.4,5.5,6.7,6.0,4.8,5.0,5.2
Other Services,3.3,4.3,-14.2,12.6,7.5,7.6,6.9
FISIM,3.7,9.5,-2.0,5.5,4.4,1.2,2.1
3. Real GDP Growth,5.6,5.1,-0.3,7.5,5.6,5.6,5.8
