2012,Column,Column
DIRECTOR,NO. OF SHARES,%
"S. C. Muchiri, EBS -Chairman","5,360,000",0.13
Julius M Riungu - Vice Chairman,"6,132,000",0.15
"Dr. G Muriuki, MBS Group Managing Director & CEO","77,415,000",1.85
M. Malonza,"5,110,000",0.12
S. Odhiambo (Mrs),"2,117,160",0.05
P. K. Githendu,"808,440",0.02
G. K. Mburia,"4,000,000",0.10
E. K. Mbogo,"3,655,480",0.09
Dr. J. Kahunyo,"2,566,000",0.06
J. Sitienei,"5,273,600",0.13
C. Kabira,"4,908,120",0.12
F. Odhiambo – Commissioner of Co-operatives,"3,300,000",0.08
R. L. Kimanthi,"1,632,000",0.04
"G. J. S. Wakasyaka, Rtd Major","2,060,000",0.05
W. Ongoro,"1,380,260",0.03
D. Kibera,-,-
R. Simani (Mrs),-,-
"J. Murugu, OGW – Representing PS Ministry of Finance","1,200,000",0.03
R. Githaiga (Mrs) – Company Secretary,"1,844,640",0.04
TOTAL,"122,630,700",3.00
