"DIRECTOR NUMBER PERCENTAGE (%)
OF SHARES OF OWNERSHIP",Column,Column
"S. C. Muchiri, EBS - Chairman","8,000,000",0.23
J. Riungu - Vice Chairman,"7,700,000",0.22
"G. M. Muriuki, OGW - Managing Director","68,121,000",1.95
J. Sitienei,"5,000,000",0.14
P. K. Githendu,"5,073,700",0.15
G. Mburia,"5,051,000",0.14
R. L. Kimanthi,"2,310,000",0.07
E.K. Mbogo,"5,010,000",0.14
"G.J.S. Wakasyaka, Rtd Major","2,300,000",0.07
M. Malonza,"5,110,000",0.15
S. Odhiambo (Mrs),"5,080,000",0.15
Dr. J. Kahunyo,"5,000,000",0.14
C. Kabira,"5,000,000",0.14
W. Ongoro,"1,400,000",0.04
F. Odhiambo - Commissioner of Co-operatives,"2,750,000",0.08
J. Murugu - Representing PS Ministry of Finance,"1,000,000",0.03
R.Githaiga - Company Secretary,"5,090,000",0.15
TOTAL,"138,995,700",3.99
