2015,Column,Column
DIRECTOR,NO. OF SHARES,%
"S. C. Muchiri, EBS – Chairman","6,253,333",0.13
Julius M Riungu – Vice Chairman,"5,037,333",0.10
"Dr. G. Muriuki, MBS – Managing Director","100,069,750",2.05
M. Malonza,"4,300,000",0.09
S. Odhiambo (Mrs),"1,261,170",0.03
P. K. Githendu,"272,013",0.01
G. Mburia,"2,400,000",0.05
J. N. Njiru,"1,400",0.00
D. M. Muthigani,-,0.00
J. Sitienei,"5,252,533",0.11
L. C. Karissa,"3,217",0.00
"P. M. Musyimi, HSC – Ag. Commissioner of Co-operative Development","7,000",0.00
R. L. Kimanthi,67,0.00
B. W. Simiyu,"2,800",0.00
W. Ongoro,"76,970",0.02
J. K. Murugu,"179,200",0.01
R. Simani (Mrs),-,0.00
W. J. Mwambia – Representing PS National Treasury,-,0.00
R. Githaiga (Mrs) – Company Secretary,"1,802,080",0.04
TOTAL,"127,718,866",2.64
