Column,2009,Column,2008,Column
Value added,Shs. Mn,%,Shs. Mn,%
Gross Interest Income,"9,348",,"7,133",
Fees and commissions,"3,416",,"3,219",
Other Operating Income,"1,533",,"1,037",
Net Operating expenses,"(2,731)",,"(2,282)",
Value added by Group,"11,566",100,"9,107",100
To Customers,"2,388",21,"1,660",18
Interest Paid (net of Taxes),"2,294",,"1,590",
Contribution to Deposit protection fund,94,,70,
To Employees,"3,844",34,"2,908",32
Salaries and other benefits,"3,379",,"2,467",
Contribution to Retirement benefit scheme,356,,246,
Employee Training and Welfare,109,,195,
To Government and Community,"1,649",14,"1,683",19
Corporation Tax,777,,"1,037",
Taxes witheld on payments,826,,594,
Business Operating Licenses,21,,21,
Donations,25,,31,
To Providers of capital,737,6,401,4
Dividends to Shareholders,698,,350,
Interest Paid on Government/Donor Loans,39,,51,
To Growth and expansion,"2,948",25,"2,455",27
Retained Income,"2,270",,"2,023",
Depreciation and armortisation,688,,483,
Deferred Tax,(10),,(51),
,"11,566",100,"9,107",100
