Directors Co-operative Bank Group,Column,Column,Column,Column,"Co-operative Bank of Kenya Ltd
Board Sub-committees",Column,Column
,"Co-operative
Bank of
Kenya Ltd","Co-op
Bank South
Sudan","Co-op
Consultancy
& Insurance
Agency Ltd","Co-optrust
Investment
Services Ltd","Audit
Committee","Staff and
Nomination
Committee","Credit
Committee"
Schedule of meetings:,,,,,,,
"S. C. Muchiri, EBS – Group Chairman",8,,6,6,,2,
J. Riungu – Vice Chairman,8,,,,4,2,
"Dr. G. Muriuki, MBS – Group
Managing Director & CEO",8,,6,6,,2,3
D. Kibera – Retired on 27.05.2015,4,,,,,,
L.C. Karissa – Appointed 27.05.2015,3,,,,3,1,
J.K. Murugu – Appointed 27.05.2015,4,,,,,,3
R. Simani (Mrs),8,,,,4,,
"W. Ongoro, HSC",8,,,,,,3
"W. J. Mwambia – Representing PS
Ministry of Finance",8,,,,4,,
J. Sitienei,8,,,,,2,
R. L. Kimanthi,7,,,,,,2
M. Malonza,6,,,,,,2
S. Odhiambo (Mrs),,,6,6,,,
Dr. J. Kahunyo,,,6,6,,,
P. K. Githendu,,,6,6,,,
G. K. Mburia,,,6,6,,,
B.W Simiyu,8,,,,,2,
J.N. Njiru,,,6,6,,,
D.M. Muthigani,,,6,6,,,
"P. M. Musyimi, HSC –
Retired 27.05.2015",4,,1,1,,1,
Co-op Bank South Sudan,,,,,,,
,,Full BOD,Audit,"Risk &
Finance",,,
Schedule of meetings:,,,,,,,
"S. C. Muchiri, EBS – Group Chairman",,5,2,,,,
J. Riungu – Vice Chairman,,5,,,,,
"Dr. G. Muriuki, MBS – Group
Managing Director & CEO",,5,2,1,,,
"Dr. Suzana Donato Deng –
Chairperson",,,,,,,
"Zachary Chianda – Managing
Director",,5,2,1,,,
Prof. Mathew Gordon Udo,,5,2,,,,
Wani Buyu Dyori,,5,,1,,,
Rosemary Githaiga,,5,2,1,,,
