Column,Column,2016,2015
Shareholder,,,
,Ordinary shares (‘000),"4,889,316","4,889,316"
,Par value,1,1
,Return on Equity (%),22.7,25
,Shareholders’ funds (KShs. Billions),61.3,50.2
,Dividend per share,0.8,0.8
,Shareholder’s meeting,1,1
"Co-operative Movement and the
Community",,,
,Charitable and other Donations (KShs. Millions),227,188
,Co-op Foundation Spend (KShs. Millions),183,153
,No. of students under sponsorship (since inception),5089,4432
,No. of mandates conducted by CCIA,131,147
,No. of people trained by CCIA,7009,6945
,Number of FOSAs under engagement,555,555
,Number of Sacco link cards,"992,000","888,487"
Regulators and Policy makers,,,
,Reviewed compliance processes,46,16
,Number of trainings on AML,48,45
,No. of Staff trained on AML,1439,652
,No. of Compliance reports to BOD,4,4
