SECTOR,2019,2020,2021,2022,"2023
PROJECTION"
Agriculture,2.7,4.6,-0.4,-1.6,4.4
Mining & Quarrying,4.3,5.5,18,9.3,2.7
Manufacturing,2.6,-0.3,7.3,2.7,3.2
Electricity & Water Supply,1.7,0.6,5.6,4.9,5.8
Construction,7.2,10.1,6.7,4.1,5.6
Wholesale & Retail Trade,5.3,-0.4,8.0,3.8,7.0
Accommodation & Restaurants,14.3,-47.7,52.6,26.2,11.2
Transport & Storage,6.3,-8,7.4,5.6,6.7
Information & Communication,7.0,6.0,6.1,9.9,7.9
Financial & Insurance,8.1,5.9,11.5,12.8,5.5
Public Administration,8.4,7.0,6.0,4.5,4.7
Professional Services,6.8,-13.7,7.1,9.4,6.7
Real Estate,6.7,4.1,6.7,4.5,5.5
Education,5.7,-9.2,22.8,4.8,8.5
Health,5.5,5.6,8.9,4.5,5.2
Other Services,4.3,-14.6,12.5,5.7,6.9
Real GDP Growth,5.1,-0.3,7.6,4.8,5.8
