Top 10 shareholders as 31 December 2020,Column,Column
Shareholder,No. of shares,% shareholding
CO-OP HOLDINGS CO-OPERATIVE SOCIETY LIMITED,"3,787,715,404",64.56%
"MURIUKI, GIDEON MAINA","102,528,400",1.75%
NIC CUSTODIAL SERVICES A/C 077,"63,166,543",1.08%
KENYA COMMERCIAL BANK NOMINEES LIMITED A/C 915B,"45,420,739",0.77%
"PATEL, BALOOBHAI; PATEL, AMARJEET BALOOBHAI","31,290,499",0.53%
KENYA COMMERCIAL BANK NOMINEES LIMITED A/C 915A,"27,380,400",0.47%
STANBIC NOMINEES LTD A/C NR1030682,"20,877,638",0.36%
ICEA LION LIFE ASSURANCE COMPANY LIMITED-POOLED,"20,373,885",0.35%
CO-OP BANK CUSTODY A/C 23000,"19,585,400",0.33%
KENYA REINSURANCE CORPORATION LIMITED,"18,404,024",0.31%
TOTAL,"4,136,742,932",70.51%
Other Shareholders,"1,730,437,171",29.49%
TOTAL,"5,867,180,103",100.00%
