CURRENCY TYPE,USD,GBP,EURO,JPY,CHF,ZAR,OTHERS,TOTAL
EXCHANGE RATE,123.3735,148.4671,131.2653,0.9228,133.4706,7.2175,–,
31 December 2022,KShs‘000,KShs‘000,KShs‘000,KShs‘000,KShs‘000,KShs‘000,KShs‘000,KShs‘000
Foreign Currency Assets:,,,,,,,,
"Cash and balances with banks
abroad","24,961,367","314,140","2,455,078","44,913","62,274","36,992","141,816","28,016,580"
Loan and advances,"29,637,202","93,031","111,576",–,–,–,–,"29,841,809"
Other foreign assets,"3,807,851","30,676",–,–,–,–,–,"3,838,527"
"Total statement of financial
position items",,,,,,,,
,"58,406,420","437,847","2,566,654","44,913","62,274","36,992","141,816","61,696,916"
"Items not recognized in statement
of financial position*","53,039,420","85,314","5,953,669","23,070",–,–,"273,012","59,374,485"
Total Foreign assets,"111,445,840","523,161","8,520,323","67,983","62,274","36,992","414,828","121,071,401"
Foreign Currency Liabilities:,,,,,,,,
Deposits,"26,447,124","474,540","1,289,293","67,017","5,528","1,295","1,069","28,285,866"
Loan and advances,"16,631,635",–,"3,937,959",–,–,–,–,"20,569,594"
Other foreign liabilities,"5,253,503","9,489","14,975",–,–,–,"1,817","5,279,784"
"Total statement of financial
position items",,,,,,,,
,"48,332,262","484,029","5,242,227","67,017","5,528","1,295","2,886","54,135,244"
"Items not recognized in statement
of financial position*","66,382,291","85,415","3,261,418",–,"46,715","38,307","291,963","70,106,109"
Total foreign liabilities,"114,714,553","569,444","8,503,645","67,017","52,243","39,602","294,849","124,241,353"
"Net exposure at 31 December
2022","(3,268,713)","(46,283)","16,678",966,"10,031","(2,610)","119,979","(3,169,952)"
