Column,Q2 - 2016,Q2 - 2015,FY - 2015
Cost to Income(Excluding Provisions),45.3%,47.3%,53.2%
Cost to Income (Including Provisions),51.4%,51.1%,58.8%
Cost of funds,4.76%,3.62%,5.15%
Staff Cost to Total Income,20.4%,21.8%,24.5%
Debt to Equity,25.5%,39.7%,38.4%
Average Return on Equity,28.2%,28.6%,25%
Average Return on assets,4.3%,4.2%,3.7%
FX to Non Funded income,14.2%,16.9%,24.2%
Non - Funded to Total Income,32.1%,33.6%,36.2%
Net Interest Margin(loans),10.5%,8.8%,9.8%
Effective Corporate Tax Rate,29.1%,28.7%,24.5%
