GROUP,Stage 1,Stage 2,Stage 3,Total
,12-month ECL,Lifetime ECL,Lifetime ECL,
,KShs‘000,KShs‘000,KShs‘000,KShs‘000
Other financial assets,,,,
Deposits and balance due from banks- at amortised cost:,,,,
- Gross carrying amount,"27,316,305",–,–,"27,316,305"
- ECL,"41,175",–,–,"41,175"
Net carrying amount as at 31 December 2023,"27,275,130",–,–,"27,275,130"
Government Securities:,,,,
- Gross carrying amount,"193,097,345",–,–,"193,097,345"
- ECL,"2,659,775",–,–,"2,659,775"
Net carrying amount as at 31 December 2023,"190,437,570",–,–,"190,437,570"
Deposits and balance due from banks- at amortised cost:,,,,
- Gross carrying amount,"21,731,801",–,–,"21,731,801"
- ECL,"2,749",–,–,"2,749"
Net carrying amount as at 31 December 2022,"21,729,052",–,–,"21,729,052"
Government Securities:,,,,
- Gross carrying amount,"177,265,086",–,–,"177,265,086"
- ECL,"2,501,773",–,–,"2,501,773"
Net carrying amount as at 31 December 2022,"174,763,313",–,–,"174,763,313"
