Name,No. of Shares,%
John K. Murugu (OGW) - Chairman,"1,895,040",0.03
Macloud Malonza (HSC) - Vice Chairman,"5,160,000",0.09
"Dr. Gideon Muriuki, CBS, MBS – GMD & CEO","117,471,300",2.00
Lawrence C. Karissa,"3,860",-
Rose Simani (Mrs.),-,-
"Wilfred Ongoro, HSC",-,-
Wanyambura Mwambia,-,-
Julius Sitienei,"4,042,639",0.07
Richard L. Kimanthi,"7,800",-
Benedict W. Simiyu,"3,360",-
Godfrey K. Mburia,"2,352,201",0.04
Patrick K. Githendu,"86,415",-
Scholastica Odhiambo (Mrs.),"1,825,524",0.03
James N. Njiru,"1,680",-
David M. Muthigani,"11,592",-
Francis Ngone,-,-
Geoffrey M’Nairobi,"269,920",-
Boaz Ouma Awitti,-,-
Mwangi Kariuki,-,-
