Strategic Focus,Capitals Trade off (Increase/Decrease),Column,Key Trade off Indicators,Column,Column,Column,Column
,,,FINANCIAL,2019,2018,,
"Aggressive
deepening of our
dominance in the
Kenya Market.
Most impacted
stakeholder","To grow our marketshare in Kenya and give a competitive return to our
shareholders.
Increase
Financial Capital:
• Funded and non-funded revenue.
• Growth in Customer Deposit.
• Retained earnings as a result of growth in PBT.
Intellectual Capital
• Corporate Governance, Planning and Enterprise risk in terms of making
the right strategic decisions for market dominance.
Manufactured Capital
• Increase in the quality and quantity of the infrastructure required to
adequately meet the needs of our customers.
Social and Relationship Capital
• Enhanced returns for our shareholders.
• Enhanced customer value propositions and product stewardship.
Human Capital
•
Decrease
Financial Capital
• Capital outlay to cater for the growth in marketshare.
• People, process and technology investment.
Manufactured Capital
• Depreciation, Amortization
Natural Capital
• In order to grow our marketshare natural resources were consumed as
indicated in the Creating Sustainable Value section of this report.",,Profit Before Tax,20.71,18.16,▲,"Financial
Capital"
,,Increase,,,,,
,,,Total assets,457.1,413.7,▲,
,,,Loan Book,266.7,245.4,▲,
,,,Customer Deposit,332.8,306.1,▲,
,,,Total Income,48.2,43.6,▲,
,,,"Retained
Earnings",62.4,54.0,▲,
,,,"Non-Performing
Loan Book",9.94%,10.27%,▼,
,,,"Dividend per
share",1.00,1.00,●,
"Dominant provider
of financial services
to the Co-operative
Movement in Kenya
and the region
Most impacted
stakeholder","To be the leading provider of financial services to the Co-operative
Movement in Kenya and the region through provision of value-added
services and maintain over 95% of total assets and liabilities of the
movement.
Increase
Financial Capital:
• Funded and non-funded revenue from the co-operatives.
Manufactured Capital
• Digital co-operatives initiative under our Transformation project leading
to service satisfaction.
Human Capital
• I ncrease in the tacit knowledge by our staff on co-operatives banking.
Decrease
Financial Capital
• Capital outlay to cater for the co-operative movement current
and future needs.
Manufactured Capital
• Depreciation, Amortization
Natural Capital
• In order to serve the co-operative movement, natural resources were
consumed as indicated in the Creating Sustainable Value section of this
report",,Debt to Equity,33%,34%,▼,
,,,Depreciation,2.7B,1.8B,▲,
,,,Amortization,0.60B,0.56B,▲,
