2011,Column,Column
DIRECTOR,NO. OF SHARES,%
"S.C. Muchiri, EBS - Chairman","5,300,000",0.15
Julius M Riungu - Vice Chairman,"5,099,700",0.15
"Dr. G. Muriuki, MBS Group Managing Director & CEO","50,121,000",1.43
M. Malonza,"5,110,000",0.15
S. Odhiambo (Mrs),"2,189,300",0.06
P.K. Githendu,"3,173,700",0.09
G. Mburia,"4,500,000",0.13
E.K. Mbogo,"3,212,900",0.09
Dr. J. Kahunyo,"3,140,000",0.09
J. Sitienei,"5,000,000",0.14
C. Kabira,"4,090,100",0.12
F. Odhiambo – Commissioner of Co-operatives,"2,750,000",0.08
R.L. Kimanthi,"2,010,000",0.06
"G.J.S. Wakasyaka, Rtd Major","2,300,000",0.07
W. Ongoro,"1,400,000",0.04
D. Kibera,-,-
R. Simani (Mrs),-,-
J. Murugu – Representing PS Ministry of Finance,"1,053,000",0.03
R. Githaiga (Mrs) – Company Secretary,"4,689,700",0.13
TOTAL,"105,139,400",3.01
