Column,FY2023,FY2022,Growth,Growth
,KShs '000',KShs '000',KShs '000',%
Co-operative Bank of Kenya Ltd,"29,616,456","26,871,740","2,744,715",10.2%
Co-operative Bank of South Sudan,"291,299","132,725","158,574",119.5%
Co-opTrust Investment Services Ltd,"226,021","208,140","17,881",8.6%
Co-op Consultancy & Bancassurance Intermediary Ltd,"877,137","1,013,159","(136,022)",(13.4%)
Kingdom Securities Ltd,"13,191","10,658","2,533",23.8%
Kingdom Bank Ltd,"1,080,687","792,556","288,131",36.4%
Co-op Bank and Subsidiaries Total,"32,104,792","29,028,978","3,075,813",10.6%
Associates share of profit,"259,058","398,245","(139,187)",(35.0%)
Group Profit Before Tax,"32,363,849","29,427,223","2,936,626",10.0%
Income Tax Expense,"9,175,482","7,389,055","1,786,427",24.2%
Group Profit After Tax,"23,188,367","22,038,168","1,150,199",5.2%
