Column,"Monthly
Retainer","Sitting
Allowance","Travelling
Facilitation",Honorarium,"Responsibility
Allowance","Housing
Allowance","CEO Annual
remuneration","Total
2019","Total
2018"
"John K. Murugu, OGW –
Chairman",4.51,1.41,0.45,4.71,6.17,2.98,-,20.23,19.92
"Macloud M. Malonza,
HSC",4.72,1.90,0.45,4.29,2.50,1.28,-,15.14,14.92
Patrick K. Githendu,1.66,1.28,0.97,4.00,2.22,1.02,-,11.15,10.85
Julius Sitienei,1.45,0.89,1.29,4.00,-,-,-,7.63,7.42
Wanyambura Mwambia,1.45,1.12,0.72,4.00,-,-,-,7.29,6.75
Rose K. Simani (Mrs),1.45,1.16,0.76,4.00,-,-,-,7.37,6.9
Lawrence C. Karissa,1.45,1.27,2.00,4.00,-,-,-,8.72,8.25
Benedict Simiyu,1.45,0.97,1.72,4.00,-,-,-,8.14,7.38
Richard L. Kimanthi,1.45,0.82,1.38,4.00,-,-,-,7.65,7.32
"Wilfred Ongoro, HSC",1.45,0.93,1.33,4.00,-,-,-,7.71,7.13
Godfrey Mburia,1.45,1.01,1.49,4.00,-,-,-,7.95,7.34
"Mary N. Mungai (Mrs),
OGW",0.63,0.08,0.01,8.00,-,-,-,8.72,7.13
"Scholastica Odhiambo
(Mrs)",2.09,0.93,0.59,4.00,-,-,-,7.61,7.13
James N. Njiru,2.09,1.01,0.97,4.00,-,-,-,8.07,7.43
David M. Muthigani,2.09,0.97,0.90,4.00,-,-,-,7.96,7.49
Francis Ngone,2.02,1.05,0.89,4.00,-,-,-,7.96,6.71
Geoffrey M’Nairobi,2.09,1.08,1.01,4.00,-,-,-,8.18,6.72
Dr. James Kahunyo,-,-,-,-,-,-,-,-,23.3
Michael M. Muthigani,1.39,0.97,0.62,4.00,-,-,-,6.98,-
Didacus O. Ityeng’,0.43,0.19,0.41,-,-,-,-,1.03,-
Geoffrey N. Njang’ombe,0.80,0.54,0.52,1.43,-,-,-,3.29,-
"Margaret Karangatha
(Mrs)",0.48,0.40,0.48,1.43,-,-,-,2.79,-
"Dr. G. Muriuki, CBS,
MBS - GMD & CEO",-,-,-,-,5.76,-,107.75,113.51,105.46
,36.60,19.98,18.96,79.86,16.65,5.28,107.75,285.08,275.55
