TOP 10 CO-OPHOLDING SHAREHOLDERS AS AT 31 DECEMBER 2018,Column,Column,Column
Shareholding,,No. of shares,% shareholding
Harambee Cooperative Savings & Credit Society Ltd,,"144,857,832",3.82
H & M Cooperative Savings & Credit Society Ltd,,"125,247,471",3.31
Kenya Police Sacco Society Ltd,,"119,885,226",3.17
Afya Cooperative Savings & Credit Society Ltd,,"111,395,592",2.94
Masaku Teachers Coop Savings & Credit Society Ltd,,"110,037,033",2.91
Kipsigis Teachers Coop Savings & Credit Society Ltd,,"101,495,520",2.68
K-Unity Savings and Credit Co-Operative Society Limited,,"90,162,633",2.38
Telepost Co-operative Savings & Credit Society Limited,,"89,889,091",2.37
Co-operative Bank Coop Savings & Credit Society Ltd,,"75,118,512",1.98
Nawiri Savings and Credit Co-operative Society Ltd,,"69,453,216",1.83
Tota,l,"1,037,542,126",27.39
