Column,Dec 2018,Dec 2017,Dec 2016,Dec 2015,Dec 2014
Capital Adequacy Ratios,,,,,
Core capital (Tier 1) to Total Deposits,19.3%,20.0%,19.7%,17.5%,15.7%
Core capital (Tier 1) to Total risk weighted assets,16.0%,15.8%,16.1%,15.7%,13.5%
Total capital / Total risk weighted assets,16.4%,22.0%,22.7%,22.4%,20.5%
SHEQ Capital / Average Assets,17.5%,18.8%,17.7%,16.0%,16.8%
Debt to Equity Ratio (Total Debt / SHEQ),34.3%,30.4%,32.3%,38.4%,42.2%
Asset Quality Ratios,,,,,
Coverage Ratio,54.7%,54.3%,0.0%,0.0%,29.9%
Cost of Risk,0.7%,1.5%,1.2%,1.0%,0.7%
Non-Performing Loans in Total Loans,11.2%,7.1%,4.6%,3.8%,4.3%
Earnings and Efficiency Ratios,,,,,
Return on Average Asset (ROAA),3.2%,3.1%,3.7%,3.7%,3.1%
Return on Equity (ROAE),18.3%,17.4%,22.7%,25.0%,20.0%
Net Interest Margin,9.4%,8.9%,10.5%,10.3%,11.9%
FX/Non Funded,17.7%,16.5%,14.1%,24.2%,13.1%
Non - Funded to Total Operating Income,29.5%,32.4%,30.2%,36.2%,33.7%
Cost Income Ratio (With provision),58.8%,60.9%,58.3%,58.8%,62.6%
Cost Income Ratio (Without Provision),54.6%,52.2%,52.1%,53.2%,59.0%
Liquidity Ratios,,,,,
Liquidity ratio,41.1%,33.8%,33.7%,37.1%,33.8%
Total Loans to Total Deposits,80.1%,88.2%,89.9%,77.6%,81.3%
Loans /(Deposits+Borrowed Funds),74.0%,82.0%,84.0%,72.0%,75.0%
Other Key Ratios,,,,,
Total asset growth rate,7.0%,10.0%,3.0%,20.0%,23.0%
Loan growth rate,-3.0%,7.0%,14.0%,16.0%,31.0%
Total Deposit growth rate,7.0%,9.0%,-2.0%,22.0%,22.0%
Earning growth rate,12.0%,-10.0%,8.0%,46.0%,-12.0%
