SECTOR,2019,2020,2021,2022,2023,Column,Column,Column,Column,"2024
Projected"
,,,,,Q1,Q2,Q3,Q4 Est,Annual Est,
1. Agriculture,2.7,4.6,-0.4,-1.6,6.1,8.2,6.7,5.8,6.6,4.9
2. Non-Agriculture,5.7,-1.4,9.5,6.3,5.3,4.8,5.7,5.7,5.4,5.9
2.1 Industry,4.0,3.3,7.5,3.9,2.5,2.0,2.8,2.4,2.4,4.0
Mining & Quarrying,4.3,5.5,18.0,9.3,3.3,5.2,1.1,1.8,3.0,4.0
Manufacturing,2.6,-0.3,7.3,2.7,2.0,1.4,2.6,1.6,1.9,2.9
"Electricity & Water
Supply",1.7,0.6,5.6,4.9,2.5,0.8,1.9,2.1,1.8,5.8
Construction,7.2,10.1,6.7,4.1,3.1,2.6,3.8,3.9,3.3,4.9
2.2 Services,6.5,-1.8,9.8,7.0,6.2,5.9,7.1,6.9,6.6,6.5
"Wholesale & Retail
Trade",5.3,-0.4,8.0,3.8,5.7,4.2,4.8,4.9,4.9,6.2
"Accommodation &
Food Services",14.3,-47.7,52.6,26.2,21.5,12.2,26.0,14.8,18.4,14.2
Transport & Storage,6.3,-8.0,7.4,5.6,6.2,3.0,2.8,3.2,3.7,5.8
ICT,7.0,6.0,6.1,9.9,9.0,6.4,7.3,7.9,7.6,8.4
Financial Services,8.1,5.9,11.5,12.8,5.8,13.5,14.7,13.8,12.0,7.8
Public Admin,8.4,7.0,6.0,4.5,6.6,3.8,4.2,4.3,4.7,5.6
Professional Services,6.8,-13.7,7.1,9.4,7.3,5.5,9.5,7.9,7.6,6.1
Real Estate,6.7,4.1,6.7,4.5,5.2,5.8,6.2,5.9,5.8,5.3
Education,5.7,-9.2,22.8,4.8,3.0,4.0,4.7,4.1,4.2,5.1
Health,5.5,5.6,8.9,4.5,5.4,5.0,5.1,5.2,5.2,5.5
Other Services,4.3,-14.6,12.5,5.7,3.2,1.6,7.4,6.5,4.7,5.8
FISIM,9.5,-1.8,5.3,1.5,0.6,6.1,3.8,2.9,3.3,2.3
3. Real GDP Growth,5.1,-0.3,7.6,4.8,5.5,5.5,5.9,5.8,5.6,5.7
