Column,Q32022,Q32021,YoY Change
Total Interest Income,43.7,39.6,10.5%
Total Interest Expenses,11.7,10.9,7.2%
Net Interest Income,32.0,28.7,11.7%
Fees and commissions on loans and advances,8.4,5.5,52.0%
Other Fees and commissions,7.9,6.9,15.4%
Foreign exchange trading income/(loss),3.3,1.9,71.6%
Other income,0.5,1.4,-61.0%
Total Operating Income,52.2,44.4,17.6%
Loan loss provision,5.7,6.0,-5.3%
Staff costs,10.8,10.0,8.1%
Other operating expenses,13.1,11.9,9.9%
Total Operating expenses,29.6,28.0,6.0%
Profit before tax and exceptional items,22.6,16.4,37.3%
Exceptional items-Share of profit of associate,0.2,0.04,262.9%
Profit/(Loss) before tax,22.7,16.5,37.9%
Income tax,5.6,4.9,16.0%
Profit after tax,17.1,11.6,47.0%
