Kshs. Billions (except for EPS),Q22019,Q22018,"% Change
(Y/Y)",FY2018
Interest Income,20.42,20.78,-2%,43.02
Interest Expense,6.17,5.97,3%,12.24
Net Interest Income,14.25,14.81,-4%,30.78
Fees & Commissions,7.07,5.12,38%,9.52
Forex Income,0.95,1.22,-22%,2.28
Other Income,0.73,0.65,12%,1.09
Total Operating Income,23.00,21.81,5%,43.68
Loan Loss Provision,1.18,1.09,8%,1.84
Staff Costs,5.71,5.34,7%,11.45
Other Operating Expenses,5.70,5.55,3%,12.40
Profit Before Tax and Exceptional Items,10.41,9.83,6%,17.99
Share of profit of associate,0.03,0.14,-81%,0.17
Profit Before Tax,10.44,9.97,5%,18.16
Tax,2.97,2.83,5%,5.42
Profit After Tax,7.47,7.14,5%,12.73
Basic Annualized EPS,2.5,2.4,5%,2.17
