CURRENCY TYPE,USD,GBP,EURO,JPY,CHF,ZAR,OTHERS,TOTAL
EXCHANGE RATE,156.4618,199.8047,173.7797,1.1100,186.9094,8.4402,–,
31 December 2023,KShs‘000,KShs‘000,KShs‘000,KShs‘000,KShs‘000,KShs‘000,KShs‘000,KShs‘000
Foreign Currency Assets:,,,,,,,,
"Cash and balances with banks
abroad","21,381,390","434,104","7,993,059","146,825","59,078","12,177","105,519","30,132,152"
Loan and advances,"45,696,801","213,117","130,914",–,–,–,–,"46,040,832"
Other foreign assets,"31,588,076","2,183","6,040","2,954",–,–,–,"31,599,253"
"Total statement of financial
position items",,,,,,,,
,"98,666,267","649,404","8,130,013","149,779","59,078","12,177","105,519","107,772,237"
"Items not recognized in statement
of financial position*","17,718,146","99,112","3,975,527","62,399",178,"422,010","251,418","22,528,790"
Total Foreign assets,"116,384,413","748,516","12,105,540","212,178","59,256","434,187","356,937","130,301,027"
Foreign Currency Liabilities:,,,,,,,,
Deposits,"44,069,443","613,576","2,639,396","161,813","4,001","2,917","57,385","47,548,531"
Loan and advances,"31,647,955",–,"5,213,391",–,–,–,–,"36,861,346"
Other foreign liabilities,"7,280,923","67,321","22,961",4,(9),–,"4,271","7,375,471"
"Total statement of financial
position items",,,,,,,,
,"82,998,321","680,897","7,875,748","161,817","3,992","2,917","61,656","91,785,348"
"Items not recognized in statement
of financial position*","33,446,380","60,114","3,990,999","62,399",–,"422,010","240,145","38,222,047"
Total Foreign liabilities,"116,444,701","741,011","11,866,747","224,216","3,992","424,927","301,801","130,007,395"
"Net Exposure at
31 December 2023","(60,288)","7,505","238,793","(12,038)","55,264","9,260","55,136","293,632"
