DIRECTOR,NO. OF SHARES,%
"S. C. Muchiri, EBS – Chairman","6,253,333",0.13
Julius M Riungu – Vice Chairman,"4,637,333",0.09
"Dr. G. M. Muriuki, MBS – Group Managing Director","100,069,750",2.05
M. Malonza,"4,300,000",0.09
S. Odhiambo (Mrs.),"1,435,570",0.03
P. K. Githendu,"172,013",0.00
G. Mburia,"2,150,001",0.04
J. N. Njiru,"1,400",0.00
D. M. Muthigani,"9,660",0.00
J. Sitienei,"4,035,533",0.08
L. C. Karissa,"3,217",0.00
R. L. Kimanthi,"10,000",0.00
B. W. Simiyu,"2,800",0.00
W. Ongoro,"283,970",0.01
Philip Gichuki,"7,000",0.00
Dr. James Kahunyo,"1,300,000",0.03
J. K. Murugu,"1,579,200",0.03
R. Simani (Mrs.),-,-
W. J. Mwambia – Representing PS National Treasury,-,-
Mary Mungai – Commissioner for Cooperatives,-,-
TOTAL,"126,250,780",2.58
