Column,Q32023,Q32022,Growth,Growth
,KShs '000',KShs '000',KShs '000',%
Co-operative Bank of Kenya Ltd,"22,735,316","20,834,066","1,901,250",9.1%
Co-operative Bank of South Sudan,"43,448","190,393","(146,945)",-77.2%
Co-opTrust Investment Services Ltd,"154,509","141,030","13,479",9.6%
Co-op Consultancy & Bancassurance Intermediary Ltd,"762,862","772,136","(9,274)",-1.2%
Kingdom Securities Ltd,"12,203","10,359","1,843",17.8%
Kingdom Bank Ltd,"786,606","630,157","156,449",24.8%
Co-op Bank and Subsidiaries Total,"24,494,944","22,578,142","1,916,803",8.5%
Associates share of profit,"194,058","152,582","41,476",27.2%
Group Profit before Tax,"24,689,003","22,730,724","1,958,278",8.6%
Income Tax Expense,"6,294,423","5,633,850","660,573",11.7%
Group Profit after Tax,"18,394,578","17,096,874","1,297,704",7.6%
