Kshs. Billions (except for EPS),Q32019,Q32018,"% Change
(Y/Y)",FY2018
Interest Income,30.4,30.9,-1.6%,43.02
Interest Expense,9.2,9.1,0.9%,12.24
Net Interest Income,21.2,21.7,-2.7%,30.78
Fees & Commissions,11.6,7.9,46.6%,9.52
Forex Income,1.6,1.8,-7.7%,2.28
Other Income,0.91,0.93,-2.5%,1.09
Total Operating Income,35.2,32.3,9.1%,43.68
Loan Loss Provision,2.1,1.3,66.8%,1.84
Staff Costs,9.1,8.1,12.1%,11.45
Other Operating Expenses,8.6,8.4,2.1%,12.40
Profit Before Tax and Exceptional Items,15.4,14.5,6.3%,17.99
Share of profit of associate,0.02,0.1,-82.8%,0.17
Profit Before Tax,15.5,14.6,5.5%,18.16
Tax,4.6,4.3,5.5%,5.42
Profit After Tax,10.9,10.3,5.5%,12.73
Basic Annualized EPS,2.5,2.3,5.5%,2.17
