2014,Column,Column
DIRECTOR,NO. OF SHARES,%
"S.C. Muchiri, EBS – Chairman","6,253,333",0.13
Julius M Riungu – Vice Chairman,"6,037,333",0.12
"Dr. G. M. Muriuki, MBS – Managing Director","97,160,850",1.99
M. Malonza,"4,300,000",0.09
S. Odhiambo (Mrs),"1,761,170",0.04
P.K. Githendu,"66,513",0.00
G. Mburia,"4,500,000",0.09
J.N. Njiru,"1,400",0.00
D.M. Muthigani,-,-
J. Sitienei,"5,452,533",0.11
C. Kabira,"5,726,140",0.12
"P. M. Musyimi, HSC – Ag. Commissioner of Co-operative Development","7,000",0.00
R. L. Kimanthi,"16,267",0.00
B.W. Simiyu,"2,800",0.00
W. Ongoro,"1,276,970",0.03
D. Kibera,-,-
R. Simani (Mrs),-,-
W. J. Mwambia – Representing PS National Treasury,-,-
R. Githaiga (Mrs) – Company Secretary,"2,152,080",0.04
TOTAL,"134,714,389",2.76
