TOP 10 CO-OPHOLDING SHAREHOLDERS AS AT 31 DECEMBER 2019,Column,Column
Shareholding,No. of shares,% shareholding
Harambee Cooperative Savings & Credit Society Ltd,"144,929,400",3.83
H & M Cooperative Savings & Credit Society Ltd,"125,247,471",3.31
Kenya Police Sacco Society Ltd,"119,885,226",3.17
Afya Cooperative Savings & Credit Society Ltd,"111,395,592",2.94
Masaku Teachers Coop Savings & Credit Society Ltd,"110,037,033",2.91
Kipsigis Teachers Coop Savings & Credit Society Ltd,"101,495,520",2.68
Co-operative Bank Coop Savings & Credit Society Ltd,"96,103,831",2.54
K-Unity Savings And Credit Co-Operative Society Limited,"90,162,633",2.38
Telepost Co-operative Savings & Credit Society Limited,"86,432,771",2.28
Nawiri Savings And Credit Co-operative Society Ltd,"69,453,216",1.83
Total,"1,055,142,693",27.87
