Gross carrying amount as at 1 January 2022,"265,912,195","30,720,798","50,035,102","346,668,095"
New financial assets originated or purchased,"121,994,768","25,115,567","17,121,020","164,231,355"
"Financial assets that have been derecognised
(excluding write-off)","(89,055,204)","(15,342,457)","(15,890,799)","(120,288,460)"
Transfer to Stage 1,"2,670,620","(2,385,363)","(285,257)",–
Transfer to Stage 2,"(1,011,805)","1,492,380","(480,575)",–
Transfer to Stage 3,"(4,317,833)","(3,217,600)","7,535,433",–
Write offs,–,–,"(4,069,397)","(4,069,397)"
Other changes,"(1,605,108)","98,478","(1,430,923)","(2,937,553)"
Gross carrying amount as at 31 December 2022,"294,587,633","36,481,803","52,534,604","383,604,040"
Impairment allowance as at 1 January 2022,"5,645,050","1,942,494","25,986,777","33,574,321"
New financial assets originated or purchased,"4,098,103","4,041,267","7,755,699","15,895,069"
"Financial assets that have been derecognised
(excluding write-off)","(1,440,580)","(953,563)","(3,950,530)","(6,344,673)"
Transfer to Stage 1,"54,136","(48,657)","(5,479)",–
Transfer to Stage 2,"(257,398)","386,328","(128,930)",–
Transfer to Stage 3,"(2,174,069)","(1,165,710)","3,339,779",–
Write offs,–,–,"(4,069,397)","(4,069,397)"
Other changes,"(729,405)","40,987)","(370,102)","(1,058,520)"
Impairment allowance as at 31 December 2022,"5,195,837","4,202,159","28,557,817","37,996,800"
Net carrying Amount as at 31 December 2022,"289,391,796","32,279,644","23,976,787","345,607,240"
