Performance Indicator,2020,2019
Total permanent staff,4016,3883
"Total Staff (46% Female, 54% Male)",4628,4422
Staff attrition (%) –Voluntary,2.40%,3.22%
Staff attrition (%) –involuntary,1.62%,1.73%
% of our staff who are younger than 40yrs,79%,83%
% of our staff who have a tenure of more than 10 years,31%,24%
% of our staff who have disabilities,0.40%,0.36%
% Permanent staff,91%,88%
% Contract staff,9%,12%
No. of paternity leave applicants,204,207
No. of maternity leave applicants,192,196
Subordinate%,0.85%,0.82%
Senior Management %,2.14%,2.16%
Grievances as a percentage of total employee base %,<1%,<1%
"Number of Leadership development programmes and number of
leaders trained (E.g. high performing teams training)","Leadership Programmes-13
Number of leaders
trained-1,712",741 – whole bank
Number of wellness initiatives,531,320
