Name,No. of Shares,%
John Murugu (OGW) - Chairman,"1,895,040",0.03
"Macloud Malonza, HSC - V. Chairman","5,160,000",0.09
"Dr. Gideon Muriuki, CBS - GMD","105,083,700",1.79
Rose Simani (Mrs),-,-
Benedict Simiyu,"3,360",0.00
"Wilfred Ongoro, HSC","8,400",0.00
Lawrence Karissa,"3,860",0.00
Richard L. Kimanthi,-,-
Julius Sitienei,"4,042,639",0.07
Wanyambura Wambia,-,-
Patrick Gitendu,"86,415",0.00
Godfrey K. Mburia,"2,300,000",0.04
Samuel M. Kibugi - Company Secretary,"88,460",0.00
Francis Ngone,-,-
David Muthigani Muriuki,"11,592",0.00
James N. Njiru,"1,680",0.00
Scholastica Odhiambo,"1,825,524",0.00
Mary N. Mungai,-,-
Geoffrey M’Nairobi,"67,420",0.00
TOTAL,"120,578,090",2.06
