SECTOR,2021,2022
Agriculture,-0.9,6.3
Industry,6.5,5.0
Mining and Quarrying,16.9,6.3
Manufacturing,6.2,4.0
Electricity and Water Supply,4.2,5.7
Construction,6.2,6.0
Services,10.8,6.4
"Wholesale and Retail Trade, Repairs",7.8,6.8
Accommodation and Restaurants,-7.6,17.0
Transport & storage,8.0,8.0
Information & Comm,15.0,5.8
Financial and Insurance,8.2,5.5
Public Administration,8.4,5.0
"Professional, Admin & support services",6.1,5.8
Real Estate,5.0,5.6
Education,41.5,5.2
Health,9.1,5.1
Other Services,7.3,5.7
Real GDP Growth,8.0,5.9
