"Directors-2018 Board Meetings
Attendance",Co-operative Bank Group,Column,Column,Column,"Co-operative Bank of Kenya Ltd Board
Sub-committees",Column,Column,Column
,"Co-operative
Bank of
Kenya Ltd","Co-op
Consultancy
& Insurance
Agency Ltd","Co-optrust
Investment
Services Ltd","Kingdom
Securities","Audit
Committee","Staff and
Nomination
Committee","Credit
Committee","Risk
Committee"
Schedule of meetings:,,,,,,,,
"John K. Murugu -Chairman
(appointed on 01 October 2017)",7,,,,,,3,
"Macloud Malonza, HSC - Vice
Chairman (appointed on 01
October 2017)",7,5,5,,,,3,
"Dr. G. Muriuki, CBS, MBS - Group
Managing Director & CEO",7,5,5,,,3,3,
Lawrence C. Karissa,7,,,,5,3,,4
Rose Simani (Mrs),7,,,,5,,,4
"W. Ongoro, HSC",7,,,,,,3,
"W. J. Mwambia – representing
PS ministry of Finance",6,,,,5,,,4
Julius Sitienei,7,,,6,,3,,
Richard L. Kimanthi,7,,,,,,3,
Benedict W.Simiyu,7,,,,,3,,
Godfrey K. Mburia,7,,,,,3,,
Patrick K. Githendu,7,,,6,5,,,4
Scholastica Odhiambo (Mrs),,5,5,,,,,
James N. Njiru,,5,5,,,,,
David M. Muthigani,,5,5,,,,,
Mary N. Mungai (Mrs.) OGW,,5,5,,,,,
Francis Ngone,,4,4,,,,,
Geoffrey M’Nairobi,,4,4,,,,,
Dr. James Kahunyo,,3,3,,,,,
Boaz Ouma Awitti,,,,6,,,,
Mwangi Kariuki,,,,5,,,,
Anthony Mburu,,,,6,,,,
Patrick Ndonye,,,,3,,,,
