Five Year Financial Review 2005 2006 2007 2008 2009,Column,Column,Column,Column,Column
Balance sheet KShs million,,,,,
Total Assets,"49,938","57,435","65,324","83,486","110,678"
Advances to Customers (net of Provisions),"27,195","27,783","38,045","52,909","62,274"
Government Securities,"11,348","15,439","12,982","12,856","26,444"
Cash and short term funds,"6,420","8,715","7,759","8,430","13,535"
Property and equipment,"2,556","2,794","3,107","4,053","5,651"
Customer Deposits,"43,602","48,183","54,775","65,854","91,519"
Shareholders Equity,"4,067","4,834","6,460","13,609","16,185"
Income Statement,,,,,
Net Interest Income,"2,743","3,339","4,849","5,695","7,054"
Non-Interest Income,"2,556","3,578","3,426","3,954","4,664"
Operating Expenses,"3,421","4,236","5,257","5,888","7,354"
Provision for loans impairment,"1,164","1,425",700,403,628
Profit before Tax,714,"1,256","2,319","3,359","3,736"
Profit after tax,446,867,"1,550","2,373","2,968"
Earnings per share,0.15,0.30,0.54,0.80,0.85
Key Ratios (%),,,,,
Return on shareholders Equity,17.6,26.0,35.9,24.9,23.1
Return on Total Assets,1.4,2.2,3.5,4.0,3.4
Impairment Provision to Advances,4.3,5.1,1.8,0.8,1.0
Operating cost to Income,64.6,61.2,63.5,61.0,62.8
Liquidity Ratio,35.7,41.4,33.5,33.1,34.9
